Species,Imaged?,Tentilla,Proximal heteronemes,Desmonemes,Rhopalonemes,Dynamic cnidoband,Elastic strand,Distal cnidoband desmonemes,Coiled tentilla,Heteroneme type,Haploneme type
Abyla bicarinata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Abyla trigona,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Abylopsis tetragona,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Agalma clausi,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas
Agalma elegans,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas
Agalma okeni,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas
Amphicaryon acaule,,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Amphicaryon earnesti,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Amphicaryon peltifera,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Apolemia lanosa,1,0,0,0,0,0,0,0,0,Eurytele,
Apolemia rubriversa,1,0,0,0,0,0,0,0,0,Eurytele,
Apolemia uvaria,1,0,0,0,0,0,0,0,0,Birrhopaloid,
Athorybia rosacea,1,1,1,1,1,1,1,0,1,Stenotele,Anisorhizas
Bargmannia amoena,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas
Bargmannia elongata,1,1,1,0,0,0,0,0,0,Stenotele,Anisorhizas
Bargmannia lata,1,1,1,0,0,0,1,0,0,Stenotele,Anisorhizas
Bassia bassensis,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Bathyphysa sibogae,1,1,0,0,0,0,0,0,0,,Anisorhizas
Cardianecta parchelion,1,1,1,0,0,1,,0,1,Stenotele,Anisorhizas
Ceratocymba dentata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Ceratocymba leuckarti,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Ceratocymba sagittata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Chelophyes appendiculata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Chuniphyes moserae,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
Chuniphyes multidentata,1,1,1,1,1,1,1,1,0,Microbasic mastigophore,Anisorhizas
