Species	Specimen	Total discharge time (ms)	Average CB discharge speed (mm/s)	Maximum CB discharge speed (mm/s)	Heteroneme discharge speed AVG (mm/s)	Heteroneme free discharge speed AVG (mm/s)	Heteroneme discharge speed MAX (mm/s)	Heteroneme free discharge speed MAX (mm/s)	Heteroneme shaft discharge speed MAX (mm/s)	Heteroneme filament length (um)	Heteroneme filament free length (um)	Haploneme discharge speed AVG (mm/s)
Vogtia serrata	D961-SS4				26.1		47.4	47.4		2610		
Resomia persica	D963-D4		189.5	363.1	109.2		109.2	109.2				51.3
Resomia ornicephala	D965-D6											
Praya dubia	D962-T1	155	14.2	32.9	14.4		30.4	30.4		1880		120.4
Nanomia bijuga	D959-BW1	22	59.5	147	21.4		47.9	47.9		1630		
Marrus claudanielis	D959-SS7											
Lychnagalma utricularia	D962-D4		264	696.9								
Lilyopsis fluoracantha	D963-D8	40	72.3	242.8	29.4		42	42	120.5			212.5
Forskalia formosa	D963-SS6	31.7	417.9	994.5	18.1		53.7	53.7	249.1	1960		60.9
Erenna laciniata	D959-SS4				14.3		29.5	29.5	74	787		5.9
Nanomia bijuga	D1020-BW11	10	184.6	261								
Forskalia formosa	D1020-BW2	35	57.5	114.8	30				118.1	1137		7.4
Forskalia formosa	D1020-BW24	11.5	322	493								
Forskalia formosa	D1021-BW13	19.6	205	774	89							
Forskalia formosa	D1021-BW20	16	224.5	260.6								
Frillagalma viyazi	D1023-MS2	14.8			50.5	162.3	54	172.8	97.7	1720	5529	83
Nanomia bijuga	D1023-SS2	161	68.1	145.5								
Frillagalma viyazi	D1023-SS5	72			40.2	107.5	58	185.6	556	2030	5428	96
Apolemia lanosa	D1024-D1				9.8		18.7			1020		
Erenna laciniata	D1024-D4	50.2	43.5	43.5	10.1	24.2	19.1	45	304	1906	4656	24.4
Bargmannia lata	D1024-D7				23.76	23.76	27.2	27.2		20000	20000	
Rosacea cymbiformis	D1025-MS4	181	33	62	27	33.75	66	82.5	130	2387	2983.75	156.7
Nanomia bijuga	D1025-SS12	81	167	264					336	926		
Frillagalma vityazi	D964-D8	15			30.8	57.6	33.7	63	68.1	1100	2060	49.2
Forskalia sp. nov.	M123-SS8	54	254.9	425.7	27.5	27.5	44.9	44.9		2000	2000	52.6
Lychnagalma utricularia	M123-SS4	181	672.9	924.4								167
Forskalia sp. nov. namaaka	M122-SS3	45.4	377.6	419								22.4
Diphyes dispar	KM2018_BW6-10	45.5	51.6	70.2	47.2	47.2	54.7	54.7	75.9	1257	1257	142
Rosacea cymbiformis	M121-SS2	18.9	18.5	28.9	70	70	158.6	158.6		1907	1907	79.8
Bargmannia elongata	M120-SS3	32.8	11.6	37.7	34.6	34.6	68.7	68.7	153.2	2100	2100	
Erenna laciniata	M120-SS7	85	66.6	100.5	16.4	20.6	44.8	56	109.5	2520	3150	90
Stephanophyes superba	KM2018_BW5-18	38	31.8	168.2	12.8	49.9						250.9
Halistemma striata	KM2018_Trawl3											26.2
Diphyes dispar	KM2018_BW3-10	30.5	44.5	66								199.8
Stephanophyes superba	KM2018_BW4-9				50.4	50.4	65				1780	
Stephanophyes superba	KM2018_BW4-19	61.5	101.94	208.1								258.5
Agalma okeni	KM2018_BW3-21											
Athorybia rosacea	KM2018_BW2-23	125			47.4	47.4	56.4	56.4	108.4	2252	2252	
Rosacea plicata	KM2018_BW2-17	40.4	9	21.6								
Erenna sp. nov. moana	M118-SS2	195.4	18.8	57.4	29	36.4	55.6	69.8	425.7	9495	11926	19.1
Physonect sp.	M117-SS2	101.7	42.7	71.99	39	39	75.5	75.5	332.6	5192	5192	
