Slide_ID	Species	Specimen	Accession number	Catalog number
S2	Abyla bicarinata	BWP 2053-13	YPM.12903	TBD
M2	Abylopsis tetragona	VFSS 13-04-11	YPM.12903	TBD
R9	Abylopsis tetragona	VF#15	YPM.12903	TBD
T6	Abylopsis tetragona	SL0303S	YPM.12903	TBD
U6	Abylopsis tetragona	JSL I 2950-CG-7	YPM.12903	TBD
V6	Abylopsis tetragona	JSL I 2953-CG-3	YPM.12903	TBD
V4	Agalma clausi	BWP 1092-6	YPM.12903	TBD
H6	Agalma elegans	VF2016-5	YPM.12903	TBD
I6	Agalma elegans	SL0210	YPM.12903	TBD
I9	Agalma elegans	RI3-7-18	YPM.12903	TBD
J6	Agalma elegans	BWD100212MB	YPM.12903	TBD
Q2	Agalma elegans	SL0205T	YPM.12903	TBD
B9	Agalma okenii	BWP 786-19	YPM.12903	TBD
C9	Agalma okenii	BWP 792-36	YPM.12903	TBD
D9	Agalma okenii	D724-BW3-3	YPM.12903	TBD
H9	Agalma okenii	D723-BW3-1	YPM.12903	TBD
O1	Agalma okenii	BWP 565-5	YPM.12903	TBD
P2	Amphicaryon earnesti	Discovery St. 7856#24	YPM.12903	TBD
B11	Apolemia lanosa	D1024-D1	YPM.12738	TBD
M3	Apolemia lanosa	D858-D6	YPM.12903	TBD
O7	Apolemia lanosa	D614-D2	YPM.12903	TBD
P7	Apolemia lanosa	D668-SS1	YPM.12903	TBD
Q7	Apolemia lanosa	D552-SS8	YPM.12903	TBD
A9	Apolemia rubriversa	D558-D4	YPM.12903	TBD
D8	Apolemia rubriversa	D651-D5	YPM.12903	TBD
H10	Apolemia rubriversa	D551-D5	YPM.12903	TBD
O10	Apolemia rubriversa	T673-D2	YPM.12903	TBD
Q3	Apolemia rubriversa	D668-D7	YPM.12903	TBD
F4	Apolemia uvaria	NorthBergen 12-01-97	YPM.12903	TBD
N6	Athorybia rosacea	D725-BW4-7	YPM.12903	TBD
O6	Athorybia rosacea	BWP 1035-18	YPM.12903	TBD
P6	Athorybia rosacea	BWP ATR-1010	YPM.12903	TBD
Q9	Athorybia rosacea	BWP 451	YPM.12903	TBD
T2	Athorybia rosacea	BWP 1036-10	YPM.12903	TBD
E2	Bargmannia amoena	D861-D12	YPM.12903	TBD
E9	Bargmannia amoena	JSL II 992-CGP3	YPM.12903	TBD
F1	Bargmannia amoena	D861-D12	YPM.12903	TBD
F9	Bargmannia amoena	JSL II 995-D3	YPM.12903	TBD
U8	Bargmannia amoena	JSL I 2657-D8	YPM.12903	TBD
H3	Bargmannia elongata	D494-SS9	YPM.12903	TBD
J8A-B	Bargmannia elongata	D328_SS12	YPM.12903	TBD
K8	Bargmannia elongata	D856-D3	YPM.12903	TBD
L8	Bargmannia elongata	D960-SS3	YPM.12903	TBD
W4	Bargmannia elongata	D554-SS3	YPM.12903	TBD
Y2	Bargmannia elongata	D153-SS1	YPM.12903	TBD
A2	Bargmannia lata	D555-SS1	YPM.12903	TBD
W3	Bassia bassensis	BWP 1497-15+16	YPM.12903	TBD
H4	Cardianecta parchelion	JSL I 2633-DS1	YPM.12903	TBD
Z1	Ceratocymba dentata	BWP 933-2	YPM.12903	TBD
W1	Ceratocymba leuckarti	BWP 1034-4	YPM.12903	TBD
D11	Chelophyes appendiculata	D1019-BW01	YPM.12738	TBD
L7	Chelophyes appendiculata	BWP 24052004	YPM.12903	TBD
M7	Chelophyes appendiculata	VF2016-82	YPM.12903	TBD
N7	Chelophyes appendiculata	VF#4	YPM.12903	TBD
S3	Chelophyes appendiculata	V14	YPM.12903	TBD
X5	Chuniphyes moserae	D959-SS3	YPM.12903	TBD
C3	Chuniphyes multidentata	D494-SS8	YPM.12903	TBD
W8	Chuniphyes multidentata	D493-SS2	YPM.12903	TBD
W9	Chuniphyes multidentata	D107-S9	YPM.12903	TBD
X10	Chuniphyes multidentata	D1023-SS12	YPM.12738	TBD
Y10	Chuniphyes multidentata	D1025-SS9	YPM.12738	TBD
R4	Cordagalma bimaculatum	T1043-D1	YPM.12903	TBD
